[2024-12-19 14:26:42] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 14:48:55] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 14:50:14] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 15:02:42] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 15:03:51] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 20:46:35] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 20:47:32] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 20:53:48] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 20:55:41] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:02:47] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:02:58] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:12:35] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:27:37] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:29:46] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:30:35] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:43:38] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:50:58] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:54:13] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:55:45] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 21:59:48] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 22:04:45] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 22:07:45] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 22:11:03] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-19 22:15:38] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-20 13:11:50] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-20 13:22:53] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-20 13:30:01] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-20 13:42:43] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-12-20 13:43:05] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
